InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes,,,,,,
100000,0.01,15,0.85,1036,4,2,0.004,0.002,,,,,,
100000,0.01,14,0.85,1036,4,2,0.004,0.002,,,,,,
100000,0.1,12,0.85,9840,25,22,0.003,0.002,,,,,,
100000,0.05,14,0.85,5008,10,9,0.002,0.002,,,,,,
100000,0.01,16,0.85,1036,2,1,0.002,0.001,,,,,,
100000,0.1,14,0.85,9840,5,5,0.001,0.001,,,,,,
100000,0.1,13,0.85,9840,9,9,0.001,0.001,,,,,,
100000,0.05,15,0.85,5008,3,2,0.001,0,,,,,,
100000,0.01,18,0.85,1036,1,0,0.001,0,,,,,,
100000,0.01,17,0.85,1036,1,0,0.001,0,,,,,,
100000,0.1,19,0.85,9840,0,0,0,0,,,,,,
100000,0.1,18,0.85,9840,0,0,0,0,,,,,,
100000,0.1,17,0.85,9840,0,0,0,0,,,,,,
100000,0.1,16,0.85,9840,1,1,0,0,,,,,,
100000,0.1,15,0.85,9840,1,1,0,0,,,,,,
100000,0.05,19,0.85,5008,0,0,0,0,,,,,,
100000,0.05,18,0.85,5008,1,1,0,0,,,,,,
100000,0.05,17,0.85,5008,1,1,0,0,,,,,,
100000,0.05,16,0.85,5008,2,2,0,0,,,,,,
100000,0.01,19,0.85,1036,0,0,0,0,,,,,,
100000,0.05,1,0.84,5027,4556,3238,0.906,0.644,,,,,,
100000,0.1,2,0.84,9919,7741,5971,0.78,0.602,,,,,,
100000,0.1,1,0.84,9919,7532,5716,0.759,0.576,,,,,,
100000,0.05,2,0.84,5027,3658,2820,0.728,0.561,,,,,,
100000,0.05,3,0.84,5027,3560,2738,0.708,0.545,,,,,,
100000,0.1,3,0.84,9919,6991,5556,0.705,0.56,,,,,,
100000,0.05,4,0.84,5027,3070,2342,0.611,0.466,,,,,,
100000,0.1,4,0.84,9919,5729,4619,0.578,0.466,,,,,,
100000,0.05,5,0.84,5027,2329,1789,0.463,0.356,,,,,,
100000,0.1,5,0.84,9919,4062,3324,0.41,0.335,,,,,,
100000,0.05,6,0.84,5027,1671,1278,0.332,0.254,,,,,,
100000,0.1,6,0.84,9919,2520,2080,0.254,0.21,,,,,,
100000,0.05,7,0.84,5027,1043,791,0.207,0.157,,,,,,
100000,0.1,7,0.84,9919,1355,1121,0.137,0.113,,,,,,
100000,0.05,8,0.84,5027,590,452,0.117,0.09,,,,,,
100000,0.01,6,0.84,971,89,36,0.092,0.037,,,,,,
100000,0.01,4,0.84,971,82,34,0.084,0.035,,,,,,
100000,0.01,5,0.84,971,70,29,0.072,0.03,,,,,,
100000,0.01,8,0.84,971,67,30,0.069,0.031,,,,,,
100000,0.01,7,0.84,971,66,26,0.068,0.027,,,,,,
100000,0.05,9,0.84,5027,332,254,0.066,0.051,,,,,,
100000,0.01,3,0.84,971,64,29,0.066,0.03,,,,,,
100000,0.1,8,0.84,9919,627,537,0.063,0.054,,,,,,
100000,0.01,10,0.84,971,50,22,0.051,0.023,,,,,,
100000,0.01,9,0.84,971,43,21,0.044,0.022,,,,,,
100000,0.05,10,0.84,5027,189,149,0.038,0.03,,,,,,
100000,0.1,9,0.84,9919,330,295,0.033,0.03,,,,,,
100000,0.01,2,0.84,971,26,6,0.027,0.006,,,,,,
100000,0.05,11,0.84,5027,109,86,0.022,0.017,,,,,,
100000,0.1,10,0.84,9919,148,132,0.015,0.013,,,,,,
100000,0.01,11,0.84,971,9,6,0.009,0.006,,,,,,
100000,0.05,12,0.84,5027,40,32,0.008,0.006,,,,,,
100000,0.01,14,0.84,971,6,3,0.006,0.003,,,,,,
100000,0.1,11,0.84,9919,47,42,0.005,0.004,,,,,,
100000,0.01,13,0.84,971,5,2,0.005,0.002,,,,,,
100000,0.01,12,0.84,971,5,2,0.005,0.002,,,,,,
100000,0.05,13,0.84,5027,18,15,0.004,0.003,,,,,,
100000,0.01,16,0.84,971,3,1,0.003,0.001,,,,,,
100000,0.01,15,0.84,971,3,2,0.003,0.002,,,,,,
100000,0.05,14,0.84,5027,10,9,0.002,0.002,,,,,,
100000,0.1,12,0.84,9919,9,7,0.001,0.001,,,,,,
100000,0.05,16,0.84,5027,4,3,0.001,0.001,,,,,,
100000,0.05,15,0.84,5027,7,6,0.001,0.001,,,,,,
100000,0.01,17,0.84,971,1,1,0.001,0.001,,,,,,
100000,0.1,19,0.84,9919,0,0,0,0,,,,,,
100000,0.1,18,0.84,9919,0,0,0,0,,,,,,
100000,0.1,17,0.84,9919,0,0,0,0,,,,,,
100000,0.1,16,0.84,9919,0,0,0,0,,,,,,
100000,0.1,15,0.84,9919,1,1,0,0,,,,,,
100000,0.1,14,0.84,9919,3,3,0,0,,,,,,
100000,0.1,13,0.84,9919,4,4,0,0,,,,,,
100000,0.05,19,0.84,5027,0,0,0,0,,,,,,
100000,0.05,18,0.84,5027,0,0,0,0,,,,,,
100000,0.05,17,0.84,5027,2,1,0,0,,,,,,
100000,0.01,19,0.84,971,0,0,0,0,,,,,,
100000,0.01,18,0.84,971,0,0,0,0,,,,,,
100000,0.01,1,0.84,971,0,0,0,0,,,,,,
100000,0.05,1,0.83,4963,4549,3146,0.917,0.634,,,,,,
100000,0.1,2,0.83,9982,7787,5740,0.78,0.575,,,,,,
100000,0.1,1,0.83,9982,7725,5592,0.774,0.56,,,,,,
100000,0.05,2,0.83,4963,3796,2801,0.765,0.564,,,,,,
100000,0.05,3,0.83,4963,3545,2619,0.714,0.528,,,,,,
100000,0.1,3,0.83,9982,6968,5265,0.698,0.527,,,,,,
100000,0.05,4,0.83,4963,2930,2176,0.59,0.438,,,,,,
100000,0.1,4,0.83,9982,5560,4256,0.557,0.426,,,,,,
100000,0.1,5,0.83,9982,3736,2908,0.374,0.291,,,,,,
100000,0.05,6,0.83,4963,1518,1132,0.306,0.228,,,,,,
100000,0.1,6,0.83,9982,2104,1673,0.211,0.168,,,,,,
100000,0.05,7,0.83,4963,831,630,0.167,0.127,,,,,,
100000,0.05,8,0.83,4963,489,380,0.099,0.077,,,,,,
100000,0.01,4,0.83,974,76,38,0.078,0.039,,,,,,
100000,0.01,6,0.83,974,68,27,0.07,0.028,,,,,,
100000,0.01,5,0.83,974,62,28,0.064,0.029,,,,,,
100000,0.01,3,0.83,974,58,21,0.06,0.022,,,,,,
100000,0.01,7,0.83,974,53,20,0.054,0.021,,,,,,
100000,0.05,9,0.83,4963,256,198,0.052,0.04,,,,,,
100000,0.01,9,0.83,974,51,24,0.052,0.025,,,,,,
100000,0.1,8,0.83,9982,464,381,0.046,0.038,,,,,,
100000,0.01,8,0.83,974,32,13,0.033,0.013,,,,,,
100000,0.05,10,0.83,4963,131,103,0.026,0.021,,,,,,
100000,0.1,9,0.83,9982,221,183,0.022,0.018,,,,,,
100000,0.01,2,0.83,974,16,6,0.016,0.006,,,,,,
100000,0.05,11,0.83,4963,63,46,0.013,0.009,,,,,,
100000,0.01,10,0.83,974,10,4,0.01,0.004,,,,,,
100000,0.1,10,0.83,9982,80,67,0.008,0.007,,,,,,
100000,0.01,11,0.83,974,5,2,0.005,0.002,,,,,,
100000,0.05,12,0.83,4963,21,13,0.004,0.003,,,,,,
100000,0.01,12,0.83,974,4,3,0.004,0.003,,,,,,
100000,0.01,13,0.83,974,3,3,0.003,0.003,,,,,,
100000,0.1,11,0.83,9982,20,18,0.002,0.002,,,,,,
100000,0.05,13,0.83,4963,11,6,0.002,0.001,,,,,,
100000,0.05,14,0.83,4963,3,1,0.001,0,,,,,,
100000,0.01,14,0.83,974,1,1,0.001,0.001,,,,,,
100000,0.1,19,0.83,9982,0,0,0,0,,,,,,
100000,0.1,18,0.83,9982,0,0,0,0,,,,,,
100000,0.1,17,0.83,9982,0,0,0,0,,,,,,
100000,0.1,16,0.83,9982,1,1,0,0,,,,,,
100000,0.1,15,0.83,9982,1,1,0,0,,,,,,
100000,0.1,14,0.83,9982,1,1,0,0,,,,,,
100000,0.1,13,0.83,9982,1,1,0,0,,,,,,
100000,0.1,12,0.83,9982,2,2,0,0,,,,,,
100000,0.05,19,0.83,4963,0,0,0,0,,,,,,
100000,0.05,18,0.83,4963,0,0,0,0,,,,,,
100000,0.05,17,0.83,4963,0,0,0,0,,,,,,
100000,0.05,16,0.83,4963,0,0,0,0,,,,,,
100000,0.05,15,0.83,4963,1,1,0,0,,,,,,
100000,0.01,19,0.83,974,0,0,0,0,,,,,,
100000,0.01,17,0.83,974,0,0,0,0,,,,,,
100000,0.01,16,0.83,974,0,0,0,0,,,,,,
100000,0.01,15,0.83,974,0,0,0,0,,,,,,
100000,0.01,1,0.83,974,0,0,0,0,,,,,,
100000,0.05,1,0.82,5003,4646,3112,0.929,0.622,,,,,,
100000,0.1,1,0.82,10140,7703,5597,0.76,0.552,,,,,,
100000,0.1,2,0.82,10140,7697,5682,0.759,0.56,,,,,,
100000,0.05,2,0.82,5003,3680,2694,0.736,0.538,,,,,,
100000,0.05,3,0.82,5003,3481,2536,0.696,0.507,,,,,,
100000,0.1,3,0.82,10140,6846,5192,0.675,0.512,,,,,,
100000,0.05,4,0.82,5003,2740,1987,0.548,0.397,,,,,,
100000,0.1,4,0.82,10140,5263,4031,0.519,0.398,,,,,,
100000,0.05,5,0.82,5003,1922,1407,0.384,0.281,,,,,,
100000,0.1,5,0.82,10140,3348,2611,0.33,0.257,,,,,,
100000,0.05,6,0.82,5003,1162,842,0.232,0.168,,,,,,
100000,0.1,6,0.82,10140,1721,1378,0.17,0.136,,,,,,
100000,0.05,7,0.82,5003,626,467,0.125,0.093,,,,,,
100000,0.1,7,0.82,10140,785,636,0.077,0.063,,,,,,
100000,0.05,8,0.82,5003,349,257,0.07,0.051,,,,,,
100000,0.01,8,0.82,988,66,22,0.067,0.022,,,,,,
100000,0.01,4,0.82,988,63,26,0.064,0.026,,,,,,
100000,0.01,5,0.82,988,62,19,0.063,0.019,,,,,,
100000,0.01,6,0.82,988,51,23,0.052,0.023,,,,,,
100000,0.01,3,0.82,988,37,15,0.037,0.015,,,,,,
100000,0.1,8,0.82,10140,337,282,0.033,0.028,,,,,,
100000,0.05,9,0.82,5003,165,122,0.033,0.024,,,,,,
100000,0.01,7,0.82,988,33,14,0.033,0.014,,,,,,
100000,0.05,10,0.82,5003,97,72,0.019,0.014,,,,,,
100000,0.01,2,0.82,988,16,6,0.016,0.006,,,,,,
100000,0.1,9,0.82,10140,148,120,0.015,0.012,,,,,,
100000,0.01,10,0.82,988,14,5,0.014,0.005,,,,,,
100000,0.01,12,0.82,988,10,4,0.01,0.004,,,,,,
100000,0.05,11,0.82,5003,26,20,0.005,0.004,,,,,,
100000,0.1,10,0.82,10140,36,28,0.004,0.003,,,,,,
100000,0.01,11,0.82,988,4,1,0.004,0.001,,,,,,
100000,0.05,12,0.82,5003,14,13,0.003,0.003,,,,,,
100000,0.01,9,0.82,988,3,0,0.003,0,,,,,,
100000,0.01,14,0.82,988,2,1,0.002,0.001,,,,,,
100000,0.01,13,0.82,988,2,1,0.002,0.001,,,,,,
100000,0.1,12,0.82,10140,7,7,0.001,0.001,,,,,,
100000,0.1,11,0.82,10140,9,8,0.001,0.001,,,,,,
100000,0.1,19,0.82,10140,0,0,0,0,,,,,,
100000,0.1,18,0.82,10140,0,0,0,0,,,,,,
100000,0.1,17,0.82,10140,0,0,0,0,,,,,,
100000,0.1,15,0.82,10140,0,0,0,0,,,,,,
100000,0.1,14,0.82,10140,0,0,0,0,,,,,,
100000,0.1,13,0.82,10140,1,1,0,0,,,,,,
100000,0.05,19,0.82,5003,0,0,0,0,,,,,,
100000,0.05,18,0.82,5003,0,0,0,0,,,,,,
100000,0.05,17,0.82,5003,0,0,0,0,,,,,,
100000,0.05,16,0.82,5003,0,0,0,0,,,,,,
100000,0.05,15,0.82,5003,0,0,0,0,,,,,,
100000,0.05,14,0.82,5003,2,1,0,0,,,,,,
100000,0.01,19,0.82,988,0,0,0,0,,,,,,
100000,0.01,18,0.82,988,0,0,0,0,,,,,,
100000,0.01,17,0.82,988,0,0,0,0,,,,,,
100000,0.01,16,0.82,988,0,0,0,0,,,,,,
100000,0.01,15,0.82,988,0,0,0,0,,,,,,
100000,0.01,1,0.82,988,0,0,0,0,,,,,,
100000,0.05,1,0.81,4992,4647,2965,0.931,0.594,,,,,,
100000,0.1,1,0.81,10028,7610,5307,0.759,0.529,,,,,,
100000,0.1,2,0.81,10028,7309,5227,0.729,0.521,,,,,,
100000,0.05,2,0.81,4992,3611,2493,0.723,0.499,,,,,,
100000,0.05,3,0.81,4992,3290,2265,0.659,0.454,,,,,,
100000,0.1,3,0.81,10028,6530,4728,0.651,0.471,,,,,,
100000,0.05,4,0.81,4992,2481,1697,0.497,0.34,,,,,,
100000,0.1,4,0.81,10028,4730,3496,0.472,0.349,,,,,,
100000,0.05,5,0.81,4992,1674,1161,0.335,0.233,,,,,,
100000,0.1,5,0.81,10028,2727,2061,0.272,0.206,,,,,,
100000,0.05,6,0.81,4992,914,657,0.183,0.132,,,,,,
100000,0.1,6,0.81,10028,1325,1018,0.132,0.102,,,,,,
100000,0.05,7,0.81,4992,519,379,0.104,0.076,,,,,,
100000,0.01,7,0.81,1061,72,24,0.068,0.023,,,,,,
100000,0.1,7,0.81,10028,624,501,0.062,0.05,,,,,,
100000,0.01,4,0.81,1061,63,22,0.059,0.021,,,,,,
100000,0.05,8,0.81,4992,226,164,0.045,0.033,,,,,,
100000,0.01,5,0.81,1061,39,15,0.037,0.014,,,,,,
100000,0.05,9,0.81,4992,144,105,0.029,0.021,,,,,,
100000,0.1,8,0.81,10028,237,186,0.024,0.019,,,,,,
100000,0.01,6,0.81,1061,24,6,0.023,0.006,,,,,,
100000,0.01,3,0.81,1061,24,13,0.023,0.012,,,,,,
100000,0.01,2,0.81,1061,17,4,0.016,0.004,,,,,,
100000,0.01,8,0.81,1061,11,3,0.01,0.003,,,,,,
100000,0.1,9,0.81,10028,89,66,0.009,0.007,,,,,,
100000,0.05,10,0.81,4992,25,17,0.005,0.003,,,,,,
100000,0.01,10,0.81,1061,3,1,0.003,0.001,,,,,,
100000,0.01,9,0.81,1061,3,1,0.003,0.001,,,,,,
100000,0.05,11,0.81,4992,12,6,0.002,0.001,,,,,,
100000,0.01,12,0.81,1061,2,2,0.002,0.002,,,,,,
100000,0.01,11,0.81,1061,2,1,0.002,0.001,,,,,,
100000,0.1,10,0.81,10028,14,11,0.001,0.001,,,,,,
100000,0.05,13,0.81,4992,3,2,0.001,0,,,,,,
100000,0.05,12,0.81,4992,6,3,0.001,0.001,,,,,,
100000,0.01,13,0.81,1061,1,1,0.001,0.001,,,,,,
100000,0.1,19,0.81,10028,0,0,0,0,,,,,,
100000,0.1,18,0.81,10028,0,0,0,0,,,,,,
100000,0.1,17,0.81,10028,0,0,0,0,,,,,,
100000,0.1,16,0.81,10028,0,0,0,0,,,,,,
100000,0.1,15,0.81,10028,0,0,0,0,,,,,,
100000,0.1,14,0.81,10028,0,0,0,0,,,,,,
100000,0.1,13,0.81,10028,0,0,0,0,,,,,,
100000,0.1,12,0.81,10028,1,1,0,0,,,,,,
100000,0.1,11,0.81,10028,4,4,0,0,,,,,,
100000,0.05,19,0.81,4992,0,0,0,0,,,,,,
100000,0.05,18,0.81,4992,0,0,0,0,,,,,,
100000,0.05,17,0.81,4992,0,0,0,0,,,,,,
100000,0.05,16,0.81,4992,0,0,0,0,,,,,,
100000,0.05,15,0.81,4992,0,0,0,0,,,,,,
100000,0.05,14,0.81,4992,2,2,0,0,,,,,,
100000,0.01,19,0.81,1061,0,0,0,0,,,,,,
100000,0.01,18,0.81,1061,0,0,0,0,,,,,,
100000,0.01,17,0.81,1061,0,0,0,0,,,,,,
100000,0.01,16,0.81,1061,0,0,0,0,,,,,,
100000,0.01,15,0.81,1061,0,0,0,0,,,,,,
100000,0.01,14,0.81,1061,0,0,0,0,,,,,,
100000,0.01,1,0.81,1061,0,0,0,0,,,,,,
100000,0.01,5,0.81,1007,0,0,0,0,,,,,,
100000,0.01,2,0.81,1007,0,0,0,0,,,,,,
100000,0.01,1,0.81,1007,0,0,0,0,,,,,,
100000,0.05,1,0.8,5118,4899,3009,0.957,0.588,,,,,,
100000,0.1,1,0.8,10011,7582,5276,0.757,0.527,,,,,,
100000,0.1,2,0.8,10011,7113,5033,0.711,0.503,,,,,,
100000,0.05,2,0.8,5118,3640,2449,0.711,0.479,,,,,,
100000,0.05,3,0.8,5118,2976,2009,0.581,0.393,,,,,,
100000,0.1,3,0.8,10011,5769,4171,0.576,0.417,,,,,,
100000,0.05,4,0.8,5118,1981,1337,0.387,0.261,,,,,,
100000,0.1,4,0.8,10011,3788,2832,0.378,0.283,,,,,,
100000,0.05,5,0.8,5118,1209,846,0.236,0.165,,,,,,
100000,0.1,5,0.8,10011,1818,1396,0.182,0.139,,,,,,
100000,0.05,6,0.8,5118,583,421,0.114,0.082,,,,,,
100000,0.01,4,0.8,1003,93,31,0.093,0.031,,,,,,
100000,0.1,6,0.8,10011,817,643,0.082,0.064,,,,,,
100000,0.01,5,0.8,1003,77,17,0.077,0.017,,,,,,
100000,0.01,3,0.8,1003,62,19,0.062,0.019,,,,,,
100000,0.05,7,0.8,5118,301,199,0.059,0.039,,,,,,
100000,0.1,7,0.8,10011,366,293,0.037,0.029,,,,,,
100000,0.01,2,0.8,1003,28,3,0.028,0.003,,,,,,
100000,0.05,8,0.8,5118,121,79,0.024,0.015,,,,,,
100000,0.1,8,0.8,10011,114,86,0.011,0.009,,,,,,
100000,0.01,7,0.8,1003,11,3,0.011,0.003,,,,,,
100000,0.01,9,0.8,995,11,2,0.011,0.002,,,,,,
100000,0.01,8,0.8,1003,7,1,0.007,0.001,,,,,,
100000,0.01,6,0.8,995,7,4,0.007,0.004,,,,,,
100000,0.01,10,0.8,1003,4,1,0.004,0.001,,,,,,
100000,0.01,8,0.8,995,4,0,0.004,0,,,,,,
100000,0.1,9,0.8,10011,26,21,0.003,0.002,,,,,,
100000,0.05,9,0.8,5118,16,10,0.003,0.002,,,,,,
100000,0.01,11,0.8,1003,3,0,0.003,0,,,,,,
100000,0.05,10,0.8,5118,10,6,0.002,0.001,,,,,,
100000,0.01,9,0.8,1003,2,2,0.002,0.002,,,,,,
100000,0.01,6,0.8,1003,2,0,0.002,0,,,,,,
100000,0.1,10,0.8,10011,7,7,0.001,0.001,,,,,,
100000,0.05,11,0.8,5118,6,4,0.001,0.001,,,,,,
100000,0.1,19,0.8,10011,0,0,0,0,,,,,,
100000,0.1,18,0.8,10011,0,0,0,0,,,,,,
100000,0.1,17,0.8,10011,0,0,0,0,,,,,,
100000,0.1,16,0.8,10011,0,0,0,0,,,,,,
100000,0.1,15,0.8,10011,0,0,0,0,,,,,,
100000,0.1,14,0.8,10011,0,0,0,0,,,,,,
100000,0.1,13,0.8,10011,0,0,0,0,,,,,,
100000,0.1,12,0.8,10011,1,1,0,0,,,,,,
100000,0.1,11,0.8,10011,1,1,0,0,,,,,,
100000,0.05,19,0.8,5118,0,0,0,0,,,,,,
100000,0.05,18,0.8,5118,0,0,0,0,,,,,,
100000,0.05,17,0.8,5118,0,0,0,0,,,,,,
100000,0.05,16,0.8,5118,0,0,0,0,,,,,,
100000,0.05,15,0.8,5118,0,0,0,0,,,,,,
100000,0.05,14,0.8,5118,0,0,0,0,,,,,,
100000,0.05,13,0.8,5118,2,2,0,0,,,,,,
100000,0.05,12,0.8,5118,1,0,0,0,,,,,,
100000,0.01,19,0.8,1003,0,0,0,0,,,,,,
100000,0.01,18,0.8,1003,0,0,0,0,,,,,,
100000,0.01,17,0.8,1003,0,0,0,0,,,,,,
100000,0.01,16,0.8,1003,0,0,0,0,,,,,,
100000,0.01,15,0.8,1003,0,0,0,0,,,,,,
100000,0.01,14,0.8,1003,0,0,0,0,,,,,,
100000,0.01,13,0.8,1003,0,0,0,0,,,,,,
100000,0.01,12,0.8,1003,0,0,0,0,,,,,,
100000,0.01,1,0.8,1003,0,0,0,0,,,,,,
100000,0.01,19,0.8,995,0,0,0,0,,,,,,
100000,0.01,18,0.8,995,0,0,0,0,,,,,,
100000,0.01,17,0.8,995,0,0,0,0,,,,,,
100000,0.01,16,0.8,995,0,0,0,0,,,,,,
100000,0.01,15,0.8,995,0,0,0,0,,,,,,
100000,0.01,14,0.8,995,0,0,0,0,,,,,,
100000,0.01,13,0.8,995,0,0,0,0,,,,,,
100000,0.01,12,0.8,995,0,0,0,0,,,,,,
100000,0.01,11,0.8,995,0,0,0,0,,,,,,
100000,0.01,10,0.8,995,0,0,0,0,,,,,,
100000,0.01,7,0.8,995,0,0,0,0,,,,,,
100000,0.01,5,0.8,995,0,0,0,0,,,,,,
100000,0.01,4,0.8,995,0,0,0,0,,,,,,
100000,0.01,3,0.8,995,0,0,0,0,,,,,,
100000,0.01,2,0.8,995,0,0,0,0,,,,,,
100000,0.01,1,0.8,995,0,0,0,0,,,,,,
100000,0.1,5,0.79,10014,2482,1898,0.248,0.19,,,,,,
100000,0.1,4,0.79,10014,2149,1668,0.215,0.167,,,,,,
100000,0.1,6,0.79,10014,1753,1306,0.175,0.13,,,,,,
100000,0.1,3,0.79,10014,1640,1312,0.164,0.131,,,,,,
100000,0.05,5,0.79,5053,230,153,0.046,0.03,,,,,,
100000,0.01,9,0.79,1026,12,5,0.012,0.005,,,,,,
100000,0.01,8,0.79,1026,2,1,0.002,0.001,,,,,,
100000,0.01,6,0.79,1026,2,1,0.002,0.001,,,,,,
100000,0.05,4,0.79,5053,5,2,0.001,0,,,,,,
100000,0.1,2,0.79,10014,0,0,0,0,,,,,,
100000,0.1,1,0.79,10014,0,0,0,0,,,,,,
100000,0.05,3,0.79,5053,0,0,0,0,,,,,,
100000,0.05,2,0.79,5053,0,0,0,0,,,,,,
100000,0.05,1,0.79,5053,0,0,0,0,,,,,,
100000,0.01,19,0.79,1026,0,0,0,0,,,,,,
100000,0.01,18,0.79,1026,0,0,0,0,,,,,,
100000,0.01,17,0.79,1026,0,0,0,0,,,,,,
100000,0.01,16,0.79,1026,0,0,0,0,,,,,,
100000,0.01,15,0.79,1026,0,0,0,0,,,,,,
100000,0.01,14,0.79,1026,0,0,0,0,,,,,,
100000,0.01,13,0.79,1026,0,0,0,0,,,,,,
100000,0.01,11,0.79,1026,0,0,0,0,,,,,,
100000,0.01,10,0.79,1026,0,0,0,0,,,,,,
100000,0.01,7,0.79,1026,0,0,0,0,,,,,,
100000,0.01,5,0.79,1026,0,0,0,0,,,,,,
100000,0.01,4,0.79,1026,0,0,0,0,,,,,,
100000,0.01,3,0.79,1026,0,0,0,0,,,,,,
100000,0.01,2,0.79,1026,0,0,0,0,,,,,,
100000,0.01,1,0.79,1026,0,0,0,0,,,,,,
100000,0.1,5,0.78,10027,2180,1589,0.217,0.158,,,,,,
100000,0.1,4,0.78,10027,1815,1359,0.181,0.136,,,,,,
100000,0.1,3,0.78,10027,1473,1131,0.147,0.113,,,,,,
100000,0.1,6,0.78,10027,1418,1003,0.141,0.1,,,,,,
100000,0.05,6,0.78,4952,408,230,0.082,0.046,,,,,,
100000,0.05,7,0.78,4952,327,201,0.066,0.041,,,,,,
100000,0.1,7,0.78,10027,604,415,0.06,0.041,,,,,,
100000,0.05,5,0.78,4952,156,83,0.032,0.017,,,,,,
100000,0.05,8,0.78,4952,141,89,0.028,0.018,,,,,,
100000,0.1,8,0.78,10027,207,152,0.021,0.015,,,,,,
100000,0.05,9,0.78,4952,67,40,0.014,0.008,,,,,,
100000,0.05,10,0.78,4952,33,25,0.007,0.005,,,,,,
100000,0.1,9,0.78,10027,58,48,0.006,0.005,,,,,,
100000,0.1,10,0.78,10027,19,16,0.002,0.002,,,,,,
100000,0.01,8,0.78,992,2,0,0.002,0,,,,,,
100000,0.05,11,0.78,4952,3,3,0.001,0.001,,,,,,
100000,0.01,9,0.78,992,1,0,0.001,0,,,,,,
100000,0.01,6,0.78,992,1,1,0.001,0.001,,,,,,
100000,0.1,19,0.78,10027,0,0,0,0,,,,,,
100000,0.1,18,0.78,10027,0,0,0,0,,,,,,
100000,0.1,17,0.78,10027,0,0,0,0,,,,,,
100000,0.1,16,0.78,10027,0,0,0,0,,,,,,
100000,0.1,15,0.78,10027,0,0,0,0,,,,,,
100000,0.1,14,0.78,10027,0,0,0,0,,,,,,
100000,0.1,13,0.78,10027,0,0,0,0,,,,,,
100000,0.1,12,0.78,10027,3,3,0,0,,,,,,
100000,0.1,11,0.78,10027,4,4,0,0,,,,,,
100000,0.1,2,0.78,10027,0,0,0,0,,,,,,
100000,0.1,1,0.78,10027,0,0,0,0,,,,,,
100000,0.05,19,0.78,4952,0,0,0,0,,,,,,
100000,0.05,18,0.78,4952,0,0,0,0,,,,,,
100000,0.05,17,0.78,4952,0,0,0,0,,,,,,
100000,0.05,16,0.78,4952,0,0,0,0,,,,,,
100000,0.05,15,0.78,4952,0,0,0,0,,,,,,
100000,0.05,14,0.78,4952,0,0,0,0,,,,,,
100000,0.05,13,0.78,4952,0,0,0,0,,,,,,
100000,0.05,4,0.78,4952,1,0,0,0,,,,,,
100000,0.05,3,0.78,4952,0,0,0,0,,,,,,
100000,0.05,2,0.78,4952,0,0,0,0,,,,,,
100000,0.05,1,0.78,4952,0,0,0,0,,,,,,
100000,0.01,19,0.78,992,0,0,0,0,,,,,,
100000,0.01,18,0.78,992,0,0,0,0,,,,,,
100000,0.01,17,0.78,992,0,0,0,0,,,,,,
100000,0.01,16,0.78,992,0,0,0,0,,,,,,
100000,0.01,15,0.78,992,0,0,0,0,,,,,,
100000,0.01,14,0.78,992,0,0,0,0,,,,,,
100000,0.01,13,0.78,992,0,0,0,0,,,,,,
100000,0.01,11,0.78,992,0,0,0,0,,,,,,
100000,0.01,10,0.78,992,0,0,0,0,,,,,,
100000,0.01,7,0.78,992,0,0,0,0,,,,,,
100000,0.01,5,0.78,992,0,0,0,0,,,,,,
100000,0.01,4,0.78,992,0,0,0,0,,,,,,
100000,0.01,3,0.78,992,0,0,0,0,,,,,,
100000,0.01,2,0.78,992,0,0,0,0,,,,,,
100000,0.01,1,0.78,992,0,0,0,0,,,,,,
100000,0.1,5,0.77,9985,2002,1394,0.201,0.14,,,,,,
100000,0.1,4,0.77,9985,1526,1122,0.153,0.112,,,,,,
100000,0.1,6,0.77,9985,1338,934,0.134,0.094,,,,,,
100000,0.1,3,0.77,9985,1123,840,0.112,0.084,,,,,,
100000,0.05,6,0.77,4985,322,178,0.065,0.036,,,,,,
100000,0.1,7,0.77,9985,571,398,0.057,0.04,,,,,,
100000,0.05,7,0.77,4985,268,152,0.054,0.03,,,,,,
100000,0.05,5,0.77,4985,151,89,0.03,0.018,,,,,,
100000,0.05,8,0.77,4985,92,59,0.018,0.012,,,,,,
100000,0.1,8,0.77,9985,173,125,0.017,0.013,,,,,,
100000,0.1,9,0.77,9985,43,32,0.004,0.003,,,,,,
100000,0.01,8,0.77,1026,2,0,0.002,0,,,,,,
100000,0.1,10,0.77,9985,9,8,0.001,0.001,,,,,,
100000,0.05,4,0.77,4985,7,4,0.001,0.001,,,,,,
100000,0.1,19,0.77,9985,0,0,0,0,,,,,,
100000,0.1,18,0.77,9985,0,0,0,0,,,,,,
100000,0.1,17,0.77,9985,0,0,0,0,,,,,,
100000,0.1,15,0.77,9985,0,0,0,0,,,,,,
100000,0.1,13,0.77,9985,0,0,0,0,,,,,,
100000,0.1,12,0.77,9985,1,1,0,0,,,,,,
100000,0.1,11,0.77,9985,1,1,0,0,,,,,,
100000,0.1,2,0.77,9985,0,0,0,0,,,,,,
100000,0.05,19,0.77,4985,0,0,0,0,,,,,,
100000,0.05,18,0.77,4985,0,0,0,0,,,,,,
100000,0.05,17,0.77,4985,0,0,0,0,,,,,,
